Folder name,ocr_result,Image Path
20240410-Create 2 GreatPhotos-(16 Images),1571678,6F4A7767.JPG
20240410-Create 2 GreatPhotos-(16 Images),1571849,6F4A6014.JPG
20240410-Create 2 GreatPhotos-(16 Images),1571946,6F4A7058.JPG
20240410-Create 2 GreatPhotos-(16 Images),1572066,6F4A6540.JPG
20240410-Create 2 GreatPhotos-(16 Images),1572067,6F4A6573.JPG
20240410-Create 2 GreatPhotos-(16 Images),1572069,6F4A6549.JPG
20240410-Create 2 GreatPhotos-(16 Images),1572082,6F4A6468.JPG
20240410-Create 2 GreatPhotos-(16 Images),1572409,6F4A6266.JPG

20240410-Phil-1-(40 Images),1469301,6F4A5900.JPG
20240410-Phil-1-(40 Images),1469302,6F4A5904.JPG
20240410-Phil-1-(40 Images),1523614,6F4A5861.JPG
20240410-Phil-1-(40 Images),1537059,6F4A5896.JPG
20240410-Phil-1-(40 Images),1537062,6F4A5946.JPG
20240410-Phil-1-(40 Images),1537064,6F4A5910.JPG
20240410-Phil-1-(40 Images),1537065,6F4A5922.JPG
20240410-Phil-1-(40 Images),1539883,6F4A5907.JPG
20240410-Phil-1-(40 Images),1561054,6F4A5807.JPG
20240410-Phil-1-(40 Images),1561056,6F4A5844.JPG
20240410-Phil-1-(40 Images),1561057,6F4A5848.JPG
20240410-Phil-1-(40 Images),1561058,6F4A5814.JPG
20240410-Phil-1-(40 Images),1561059,6F4A5819.JPG
20240410-Phil-1-(40 Images),1561060,6F4A5827.JPG
20240410-Phil-1-(40 Images),1561061,6F4A5836.JPG
20240410-Phil-1-(40 Images),1561062,6F4A5811.JPG
20240410-Phil-1-(40 Images),1570000,6F4A5880.JPG
20240410-Phil-1-(40 Images),1570001,6F4A5867.JPG
20240410-Phil-1-(40 Images),1570043,6F4A5854.JPG
20240410-Phil-1-(40 Images),1570414,6F4A5883.JPG
20240410-Phil-1-(40 Images),1570416,6F4A5887.JPG
20240410-Phil-1-(40 Images),1570461,6F4A5864.JPG
20240410-Phil-1-(40 Images),1570464,6F4A5875.JPG
20240410-Phil-1-(40 Images),1570466,6F4A5871.JPG
20240410-Phil-1-(40 Images),1570553,6F4A5799.JPG
20240410-Phil-1-(40 Images),1570554,6F4A5795.JPG
20240410-Phil-1-(40 Images),1571304,6F4A5857.JPG
20240410-Phil-1-(40 Images),1571732,6F4A5893.JPG
20240410-Phil-1-(40 Images),1571828,6F4A5960.JPG
20240410-Phil-1-(40 Images),1571831,6F4A5940.JPG
20240410-Phil-1-(40 Images),1571833,6F4A5954.JPG
20240410-Phil-1-(40 Images),1571845,6F4A5919.JPG
20240410-Phil-1-(40 Images),1571846,6F4A5915.JPG
20240410-Phil-1-(40 Images),1571847,6F4A5925.JPG
20240410-Phil-1-(40 Images),1572005,6F4A5789.JPG
20240410-Phil-1-(40 Images),1572012,6F4A5950.JPG
20240410-Phil-1-(40 Images),1572018,6F4A5928.JPG
20240410-Phil-1-(40 Images),1572019,6F4A5933.JPG
20240410-Phil-1-(40 Images),1572366,6F4A5792.JPG

20240410-Phil-10-(22 Images),1540766,6F4A7743.JPG
20240410-Phil-10-(22 Images),1540767,6F4A7751.JPG
20240410-Phil-10-(22 Images),1540768,6F4A7754.JPG
20240410-Phil-10-(22 Images),1540769,6F4A7758.JPG
20240410-Phil-10-(22 Images),1568243,6F4A7763.JPG
20240410-Phil-10-(22 Images),1570150,6F4A7814.JPG
20240410-Phil-10-(22 Images),1571042,6F4A7738.JPG
20240410-Phil-10-(22 Images),1571045,6F4A7727.JPG
20240410-Phil-10-(22 Images),1571676,6F4A7777.JPG
20240410-Phil-10-(22 Images),1571677,6F4A7774.JPG
20240410-Phil-10-(22 Images),1571679,6F4A7790.JPG
20240410-Phil-10-(22 Images),1572007,6F4A7783.JPG
20240410-Phil-10-(22 Images),1572380,6F4A7780.JPG
20240410-Phil-10-(22 Images),1572387,6F4A7787.JPG
20240410-Phil-10-(22 Images),1573465,6F4A7811.JPG
20240410-Phil-10-(22 Images),1573471,6F4A7808.JPG
20240410-Phil-10-(22 Images),1573472,6F4A7803.JPG
20240410-Phil-10-(22 Images),1573476,6F4A7800.JPG
20240410-Phil-10-(22 Images),1573477,6F4A7794.JPG
20240410-Phil-10-(22 Images),1573478,6F4A7797.JPG

20240410-Phil-2-(40 Images),1208263,6F4A6121.JPG
20240410-Phil-2-(40 Images),1469297,6F4A6071.JPG
20240410-Phil-2-(40 Images),1469298,6F4A6068.JPG
20240410-Phil-2-(40 Images),1469299,6F4A6157.JPG
20240410-Phil-2-(40 Images),1469300,6F4A6124.JPG
20240410-Phil-2-(40 Images),1469304,6F4A6163.JPG
20240410-Phil-2-(40 Images),1537061,6F4A5988.JPG
20240410-Phil-2-(40 Images),1537066,6F4A6077.JPG
20240410-Phil-2-(40 Images),1539885,6F4A5981.JPG
20240410-Phil-2-(40 Images),1571829,6F4A6064.JPG
20240410-Phil-2-(40 Images),1571830,6F4A6029.JPG
20240410-Phil-2-(40 Images),1571832,6F4A5966.JPG
20240410-Phil-2-(40 Images),1571834,6F4A6084.JPG
20240410-Phil-2-(40 Images),1571848,6F4A5993.JPG
20240410-Phil-2-(40 Images),1571850,6F4A6168.JPG
20240410-Phil-2-(40 Images),1571851,6F4A6172.JPG
20240410-Phil-2-(40 Images),1571853,6F4A6061.JPG
20240410-Phil-2-(40 Images),1571854,6F4A6099.JPG
20240410-Phil-2-(40 Images),1571855,6F4A6049.JPG
20240410-Phil-2-(40 Images),1571856,6F4A6046.JPG
20240410-Phil-2-(40 Images),1571857,6F4A6042.JPG
20240410-Phil-2-(40 Images),1571858,6F4A6054.JPG
20240410-Phil-2-(40 Images),1571859,6F4A6032.JPG
20240410-Phil-2-(40 Images),1571860,6F4A6058.JPG
20240410-Phil-2-(40 Images),1571861,6F4A6093.JPG
20240410-Phil-2-(40 Images),1572013,6F4A6011.JPG
20240410-Phil-2-(40 Images),1572014,6F4A6007.JPG
20240410-Phil-2-(40 Images),1572015,6F4A6003.JPG
20240410-Phil-2-(40 Images),1572016,6F4A5999.JPG
20240410-Phil-2-(40 Images),1572017,6F4A5996.JPG
20240410-Phil-2-(40 Images),1572021,6F4A6038.JPG
20240410-Phil-2-(40 Images),1572023,6F4A6035.JPG
20240410-Phil-2-(40 Images),1572044,6F4A5977.JPG
20240410-Phil-2-(40 Images),1572045,6F4A6142.JPG
20240410-Phil-2-(40 Images),1572046,6F4A6129.JPG
20240410-Phil-2-(40 Images),1572047,6F4A6117.JPG
20240410-Phil-2-(40 Images),1572048,6F4A6114.JPG
20240410-Phil-2-(40 Images),1572049,6F4A6110.JPG
20240410-Phil-2-(40 Images),1572050,6F4A6146.JPG
20240410-Phil-2-(40 Images),1572051,6F4A6149.JPG

20240410-Phil-3-(40 Images),1571661,6F4A6177.JPG
20240410-Phil-3-(40 Images),1571738,6F4A6316.JPG
