Folder name,ocr_result,Image Path
ocr_errors,735868,image_path
ocr_errors,1558888,image_path
ocr_errors,941178,image_path
ocr_errors,936417,image_path

Folder name,ocr_result,Image Path
ocr_errors,735868,image_path
ocr_errors,1558888,image_path
ocr_errors,941178,image_path
ocr_errors,936417,image_path

Folder name,ocr_result,Image Path
ocr_errors,735868,image_path
ocr_errors,1558888,image_path
ocr_errors,941178,image_path
ocr_errors,936417,image_path

Folder name,ocr_result,Image Path
ocr_errors,735868,image_path
ocr_errors,1558888,image_path
ocr_errors,941178,image_path
ocr_errors,936417,image_path

Folder name,ocr_result,Image Path
ocr_errors,735868,image_path
ocr_errors,1558888,image_path
ocr_errors,941178,image_path
ocr_errors,936417,image_path

Folder name,ocr_result,Image Path
ocr_errors,735868,image_path
ocr_errors,1558888,image_path
ocr_errors,941178,image_path
ocr_errors,936417,image_path

